Item,Mean,Var,Alpha,Beta,Params,Raw_Distrib,Discrete_Distrib,Sentence
122805:19,0.41,0.06655555555555556,0.954088145697608,0.7471967157258752,(0.954088145697608  0.7471967157258752),[0.16  0.22  0.02  0.25  0.78  0.59  0.79  0.5  0.38],[0.11111111 0.33333333 0.11111111 0.11111111 0.11111111 0.22222222 0.        ],"but there is usually two or three days in the week that you can get out there and play ,"
160448:28,0.17333333333333334,0.025244444444444444,0.4114592386826822,0.5309710743959841,(0.4114592386826822  0.5309710743959841),[0.11  0.11  0.02  0.05  0.0  0.12  0.31  0.48  0.36],[0.55555556 0.         0.22222222 0.11111111 0.         0. 0.        ],"i just catch the major ones off the news or if someone starts  to talk about it."
166963:23,0.3866666666666666,0.13573333333333334,0.20373577198160148,0.285920910232561,(0.20373577198160148  0.285920910232561),[0.0  0.39  0.12  0.03  0.85  0.04  0.95  0.84  0.26],[0.33333333 0.11111111 0.11111111 0.         0.         0.22222222 0.11111111],"and whe-, whether or not you agree with that law, i-, you're still circumventing it."
63657:95,0.31842105263157894,0.09459224376731303,0.3504088465623809,0.5663207292678941,(0.3504088465623809  0.5663207292678941),[0.21  0.02  0.04  0.05  0.88  0.35  0.67  0.14  0.48  0.6  0.51  0.79  0.0  0.11  0.21  0.02  0.04  0.05  0.88],[0.42105263 0.10526316 0.05263158 0.10526316 0.10526316 0.05263158 0.10526316],"i would have more problem more problem with the temperature, except that, you know,  working in engineering, we do everything in centigrade, or celsius."
93263:156,0.4666666666666667,0.0858,0.42282394307959625,0.736952381208746,(0.42282394307959625  0.736952381208746),[0.57  0.44  0.39  0.45  0.07  0.0  0.99  0.79  0.5],[0.11111111 0.         0.11111111 0.44444444 0.         0.11111111 0.11111111],"i, i wonder how, how you instill in people the necessity for doing just a little bit extra to, to make this whole thing work. i mean, the extra like washing out bottles and jars, or the extra of actually, uh, making sure that, uh, you take stuff over to, you know ,"
2927:38:00,0.4511111111111112,0.096720987654321,1.0654638139403823,0.7760075178495562,(1.0654638139403823  0.7760075178495562),[0.51  0.79  0.02  0.16  0.36  0.49  0.08  0.99  0.66],[0.22222222 0.11111111 0.11111111 0.22222222 0.11111111 0.11111111 0.11111111],"rarely a day went by when the wind was less than fifteen or twenty miles an hour . summer and winter,"
76507:42,0.34111111111111103,0.08814320987654323,0.3837420820307495,0.6093854525517708,(0.3837420820307495  0.6093854525517708),[0.12  0.9  0.55  0.66  0.07  0.16  0.05  0.07  0.49],[0.44444444 0.11111111 0.         0.22222222 0.11111111 0. 0.11111111],"i'm not sure if it's more a problem with american families or a problem with the school system."
3218:18:00,0.23222222222222225,0.07092839506172839,0.18628000572369785,0.4399787466181261,(0.18628000572369785  0.4399787466181261),[0.17  0.06  0.17  0.16  0.02  0.44  0.11  0.05  0.91],[0.44444444 0.33333333 0.         0.11111111 0.         0. 0.11111111],"i listen to heavy metal or classic rock."
53823:87,0.37555555555555553,0.10486913580246912,0.1934899285562283,0.4899218150889706,(0.1934899285562283  0.4899218150889706),[0.15  0.14  0.02  0.25  0.35  0.91  0.26  1.0  0.3],[0.22222222 0.33333333 0.22222222 0.         0.         0. 0.22222222],"putting them in, i mean, they were, they were call-, they called them  their quiet rooms or their isolation rooms."
58773:18,0.30157894736842095,0.0859185595567867,0.6346778594585605,2.3834968202605995,(0.6346778594585605  2.3834968202605995),[0.38  0.02  0.02  0.08  0.39  0.78  0.82  0.99  0.24  0.29  0.51  0.3  0.0  0.02  0.38  0.02  0.02  0.08  0.39],[0.36842105 0.05263158 0.31578947 0.05263158 0.         0.10526316 0.05263158],"i tried it like once or twice."
